Shape,Color,Clarity,Weight,Lab,Cut,Polish,Symmetry,Fluor,Off Rap,Price Per Carat,Total Price,Certificate No,Length,Width,Depth,Table,Girdle,Culet,Certificate Url,Video
ROUND,I,SI1,0.31,IGI,EXCELLENT,EXCELLENT,EXCELLENT,,-65.00,595.00,184.45,LG250674379,4.32,4.35,2.75,57.5,MEDIUM TO SLIGHTLY THICK,POINTED,https://s3.amazonaws.com/lgdcertificates/LG250674379.pdf,https://s3.amazonaws.com/lgdvideos/LG250674379.mp4
ROUND,I,SI1,0.31,IGI,IDEAL,EXCELLENT,EXCELLENT,,-65.00,595.00,184.45,LG265707654,4.36,4.38,2.7,56.5,MEDIUM TO SLIGHTLY THICK (FACETED),POINTED,https://s3.amazonaws.com/lgdcertificates/LG265707654.pdf,https://s3.amazonaws.com/lgdvideos/LG265707654.mp4
ROUND,I,SI1,0.31,IGI,IDEAL,EXCELLENT,EXCELLENT,,-65.00,595.00,184.45,LG265744233,4.35,4.39,2.69,57.5,MEDIUM TO SLIGHTLY THICK (FACETED),POINTED,https://s3.amazonaws.com/lgdcertificates/LG265744233.pdf,https://s3.amazonaws.com/lgdvideos/LG265744233.mp4
ROUND,J,VS1,0.33,IGI,IDEAL,EXCELLENT,EXCELLENT,,-66.76,564.99,186.45,LG250687774,4.45,4.47,2.74,57.5,MEDIUM,POINTED,https://s3.amazonaws.com/lgdcertificates/LG250687774.pdf,https://s3.amazonaws.com/lgdvideos/LG250687774.mp4
ROUND,J,VS1,0.34,IGI,IDEAL,EXCELLENT,EXCELLENT,,-66.76,564.99,192.10,LG310835372,4.46,4.51,2.75,57.0,MEDIUM (FACETED),POINTED,https://s3.amazonaws.com/lgdcertificates/LG310835372.pdf,https://s3.amazonaws.com/lgdvideos/LG310835372.mp4
ROUND,I,SI1,0.32,IGI,IDEAL,EXCELLENT,EXCELLENT,,-65.00,595.00,190.40,LG265707533,4.39,4.4,2.7,57.5,MEDIUM,POINTED,https://s3.amazonaws.com/lgdcertificates/LG265707533.pdf,            
ROUND,I,SI1,0.32,IGI,IDEAL,EXCELLENT,EXCELLENT,,-65.00,595.00,190.40,LG265707540,4.4,4.42,2.71,57.0,MEDIUM,POINTED,https://s3.amazonaws.com/lgdcertificates/LG265707540.pdf,https://s3.amazonaws.com/lgdvideos/LG265707540.mp4
ROUND,I,SI1,0.32,IGI,IDEAL,EXCELLENT,EXCELLENT,,-65.00,595.00,190.40,LG265744630,4.4,4.44,2.71,57.5,MEDIUM (PARTLY FACETED),POINTED,https://s3.amazonaws.com/lgdcertificates/LG265744630.pdf,https://s3.amazonaws.com/lgdvideos/LG265744630.mp4
ROUND,I,SI1,0.32,IGI,IDEAL,EXCELLENT,EXCELLENT,,-65.00,595.00,190.40,LG265707698,4.41,4.44,2.69,58.5,MEDIUM (PARTLY FACETED),POINTED,https://s3.amazonaws.com/lgdcertificates/LG265707698.pdf,https://s3.amazonaws.com/lgdvideos/LG265707698.mp4
ROUND,I,SI1,0.32,IGI,IDEAL,EXCELLENT,EXCELLENT,,-65.00,595.00,190.40,LG270767353,4.46,4.47,2.66,57.0,MEDIUM TO SLIGHTLY THICK (PARTLY FACETED),POINTED,https://s3.amazonaws.com/lgdcertificates/LG270767353.pdf,            
ROUND,I,SI1,0.32,IGI,IDEAL,EXCELLENT,EXCELLENT,,-65.00,595.00,190.40,LG265707288,4.45,4.47,2.7,57.5,MEDIUM,POINTED,https://s3.amazonaws.com/lgdcertificates/LG265707288.pdf,https://s3.amazonaws.com/lgdvideos/LG265707288.mp4
ROUND,I,SI1,0.32,IGI,EXCELLENT,EXCELLENT,VERY GOOD,,-65.00,595.00,190.40,LG265707657,4.36,4.37,2.76,55.5,MEDIUM TO SLIGHTLY THICK,POINTED,https://s3.amazonaws.com/lgdcertificates/LG265707657.pdf,https://s3.amazonaws.com/lgdvideos/LG265707657.mp4
ROUND,I,SI2,0.33,IGI,IDEAL,EXCELLENT,VERY GOOD,,-62.00,570.00,188.10,LG265744637,4.47,4.48,2.7,59.0,MEDIUM,POINTED,https://s3.amazonaws.com/lgdcertificates/LG265744637.pdf,https://s3.amazonaws.com/lgdvideos/LG265744637.mp4
ROUND,I,SI2,0.33,IGI,EXCELLENT,EXCELLENT,VERY GOOD,,-62.00,570.00,188.10,LG265707709,4.39,4.42,2.79,56.0,MEDIUM TO SLIGHTLY THICK,POINTED,https://s3.amazonaws.com/lgdcertificates/LG265707709.pdf,https://s3.amazonaws.com/lgdvideos/LG265707709.mp4
ROUND,H,SI1,0.33,IGI,EXCELLENT,EXCELLENT,VERY GOOD,,-65.00,595.00,196.35,LG301760649,4.42,4.45,2.78,56.0,MEDIUM (FACETED),POINTED,https://s3.amazonaws.com/lgdcertificates/LG301760649.pdf,https://s3.amazonaws.com/lgdvideos/LG301760649.mp4
